it,00_0,01_0,10_0,11_0
196,2.3041e-05,-2.17313e-07,-2.17313e-07,2.26259e-05
197,2.33376e-05,-3.98173e-07,-3.98173e-07,2.28283e-05
198,2.35146e-05,-3.69314e-07,-3.69314e-07,2.30005e-05
199,2.33052e-05,-4.06133e-07,-4.06133e-07,2.29454e-05
200,2.32351e-05,-3.0088e-07,-3.0088e-07,2.25415e-05
201,2.36181e-05,-6.32077e-07,-6.32077e-07,2.27813e-05
202,2.32122e-05,-3.79578e-07,-3.79578e-07,2.29393e-05
203,2.32455e-05,-3.57849e-07,-3.57849e-07,2.35932e-05
204,2.31105e-05,-6.00577e-07,-6.00577e-07,2.26366e-05
205,2.34618e-05,-5.27925e-07,-5.27925e-07,2.29014e-05
206,2.30963e-05,-2.96486e-07,-2.96486e-07,2.3108e-05
207,2.29871e-05,-5.6448e-07,-5.6448e-07,2.30085e-05
208,2.28502e-05,-6.34362e-07,-6.34362e-07,2.26266e-05
209,2.34736e-05,-5.59021e-07,-5.59021e-07,2.28553e-05
210,2.33482e-05,-5.81807e-07,-5.81807e-07,2.27025e-05
211,2.35362e-05,-5.71202e-07,-5.71202e-07,2.2893e-05
212,2.35043e-05,-6.49463e-07,-6.49463e-07,2.26332e-05
213,2.38662e-05,-9.50799e-07,-9.50799e-07,2.25224e-05
214,2.31697e-05,-5.14002e-07,-5.14002e-07,2.27736e-05
215,2.37328e-05,-4.06651e-07,-4.06651e-07,2.28273e-05
216,2.33405e-05,-3.82378e-07,-3.82378e-07,2.2626e-05
217,2.39677e-05,-6.30205e-07,-6.30205e-07,2.2985e-05
218,2.31501e-05,-4.2248e-07,-4.2248e-07,2.25404e-05
219,2.31936e-05,-6.44581e-07,-6.44581e-07,2.26549e-05
220,2.35389e-05,-6.25945e-07,-6.25945e-07,2.26943e-05
221,2.34821e-05,-5.33333e-07,-5.33333e-07,2.26495e-05
222,2.33135e-05,-6.7976e-07,-6.7976e-07,2.32394e-05
223,2.33927e-05,-5.96475e-07,-5.96475e-07,2.26028e-05
224,2.30902e-05,-6.35718e-07,-6.35718e-07,2.28211e-05
225,2.32803e-05,-8.11845e-07,-8.11845e-07,2.26088e-05
226,2.31309e-05,-6.78845e-07,-6.78845e-07,2.31478e-05
227,2.30661e-05,-6.63895e-07,-6.63895e-07,2.24472e-05
228,2.31509e-05,-1.003e-06,-1.003e-06,2.26964e-05
229,2.34596e-05,-8.20318e-07,-8.20318e-07,2.23776e-05
230,2.31525e-05,-7.1585e-07,-7.1585e-07,2.24595e-05
231,2.34646e-05,-4.69212e-07,-4.69212e-07,2.30341e-05
232,2.31889e-05,-5.62204e-07,-5.62204e-07,2.26892e-05
233,2.33451e-05,-9.2286e-07,-9.2286e-07,2.25627e-05
234,2.33628e-05,-4.39791e-07,-4.39791e-07,2.28619e-05
235,2.35918e-05,-9.42639e-07,-9.42639e-07,2.24402e-05
236,2.33747e-05,-6.20546e-07,-6.20546e-07,2.27945e-05
237,2.32505e-05,-1.13081e-06,-1.13081e-06,2.23891e-05
238,2.36816e-05,-8.79338e-07,-8.79338e-07,2.26456e-05
239,2.32021e-05,-5.09687e-07,-5.09687e-07,2.27195e-05
240,2.32871e-05,-5.63482e-07,-5.63482e-07,2.24306e-05
241,2.41228e-05,-9.85945e-07,-9.85945e-07,2.26843e-05
242,2.30665e-05,-9.06677e-07,-9.06677e-07,2.26521e-05
243,2.32457e-05,-7.71194e-07,-7.71194e-07,2.26172e-05
244,2.29442e-05,-7.27046e-07,-7.27046e-07,2.24656e-05
245,2.32243e-05,-7.66445e-07,-7.66445e-07,2.26303e-05
246,2.31391e-05,-8.12597e-07,-8.12597e-07,2.26556e-05
247,2.32203e-05,-9.39549e-07,-9.39549e-07,2.29306e-05
248,2.28385e-05,-9.2e-07,-9.2e-07,2.27798e-05
249,2.39759e-05,-6.08904e-07,-6.08904e-07,2.28377e-05
250,2.31344e-05,-7.17802e-07,-7.17802e-07,2.25784e-05
251,2.32282e-05,-1.01546e-06,-1.01546e-06,2.25931e-05
252,2.33613e-05,-7.99004e-07,-7.99004e-07,2.25707e-05
253,2.33442e-05,-1.21689e-06,-1.21689e-06,2.31936e-05
254,2.34276e-05,-9.56789e-07,-9.56789e-07,2.22996e-05
255,2.32035e-05,-1.02791e-06,-1.02791e-06,2.26301e-05
256,2.39164e-05,-9.46971e-07,-9.46971e-07,2.25029e-05
257,2.32919e-05,-9.18527e-07,-9.18527e-07,2.22846e-05
258,2.35174e-05,-7.83963e-07,-7.83963e-07,2.26564e-05
259,2.30338e-05,-9.24811e-07,-9.24811e-07,2.25583e-05
260,2.30299e-05,-1.15516e-06,-1.15516e-06,2.2807e-05
261,2.31048e-05,-8.12091e-07,-8.12091e-07,2.24099e-05
262,2.32498e-05,-1.04198e-06,-1.04198e-06,2.27944e-05
263,2.36841e-05,-8.70183e-07,-8.70183e-07,2.26352e-05
264,2.32225e-05,-9.59752e-07,-9.59752e-07,2.25211e-05
265,2.34294e-05,-1.04818e-06,-1.04818e-06,2.22694e-05
266,2.38142e-05,-9.58215e-07,-9.58215e-07,2.24296e-05
267,2.3547e-05,-1.17401e-06,-1.17401e-06,2.27278e-05
268,2.3817e-05,-1.23704e-06,-1.23704e-06,2.25045e-05
269,2.30168e-05,-1.09634e-06,-1.09634e-06,2.22398e-05
270,2.30328e-05,-7.16485e-07,-7.16485e-07,2.18688e-05
271,2.31472e-05,-1.0493e-06,-1.0493e-06,2.24999e-05
272,2.31677e-05,-1.08295e-06,-1.08295e-06,2.25391e-05
273,2.3019e-05,-1.22281e-06,-1.22281e-06,2.26448e-05
274,2.31588e-05,-8.32302e-07,-8.32302e-07,2.22872e-05
275,2.32738e-05,-1.03724e-06,-1.03724e-06,2.22595e-05
276,2.3833e-05,-1.34326e-06,-1.34326e-06,2.19879e-05
